city,type,name,address,tel,price,open_time,rating,content
成都,商务住宅;楼宇;商务写字楼,成都双子塔,交子北一路与交子大道交叉口东60米,无,以现场为准,以现场为准,4.9,成都双子塔位于交子北一路与交子大道交叉口东60米，门票以现场为准，开放时间以现场为准
成都,风景名胜;风景名胜;风景名胜,生机之塔,G4202成都绕城高速与濯锦立交桥交叉口北120米,无,以现场为准,10:00-22:00,4.9,生机之塔位于G4202成都绕城高速与濯锦立交桥交叉口北120米，门票以现场为准，开放时间10:00-22:00
成都,风景名胜;公园广场;公园,锦城公园,益州大道北段1666号,无,以现场为准,24小时营业,4.7,锦城公园位于益州大道北段1666号，门票以现场为准，开放时间24小时营业
成都,体育休闲服务;休闲场所;游乐场,环球中心海洋乐园,天府大道北段1700号新世纪环球中心1层,028-62732012;028-62732999,69.00,以现场为准,4.7,环球中心海洋乐园位于天府大道北段1700号新世纪环球中心1层，门票69.00，开放时间以现场为准
成都,风景名胜;公园广场;公园,交子公园,天府大道北段,无,以现场为准,09:00-19:00,4.7,交子公园位于天府大道北段，门票以现场为准，开放时间09:00-19:00
成都,风景名胜;风景名胜;国家级景点,铁像寺水街,铁像寺路88号,028-65292065,以现场为准,24小时营业,4.8,铁像寺水街位于铁像寺路88号，门票以现场为准，开放时间24小时营业
成都,风景名胜;公园广场;公园,桂溪生态公园,天府一街附近,无,以现场为准,24小时营业,4.7,桂溪生态公园位于天府一街附近，门票以现场为准，开放时间24小时营业
成都,风景名胜;风景名胜;风景名胜,双子塔夜景打卡点,交子大道与益州大道北段交叉口东40米,无,以现场为准,以现场为准,4.7,双子塔夜景打卡点位于交子大道与益州大道北段交叉口东40米，门票以现场为准，开放时间以现场为准
成都,风景名胜;风景名胜;风景名胜,天府绿道,益州大道中段694号,无,以现场为准,24小时营业,4.7,天府绿道位于益州大道中段694号，门票以现场为准，开放时间24小时营业
成都,风景名胜;公园广场;公园,成都江滩公园,世纪城路,无,以现场为准,以现场为准,4.6,成都江滩公园位于世纪城路，门票以现场为准，开放时间以现场为准
成都,风景名胜;公园广场;公园,大源中央公园,成都高新区天府二街777号(大源地铁站D口旁),13281029115,以现场为准,08:00-22:00,4.7,大源中央公园位于成都高新区天府二街777号(大源地铁站D口旁)，门票以现场为准，开放时间08:00-22:00
成都,购物服务;购物相关场所;购物相关场所,交子之环(中海国际中心店),交子大道177号中海国际中心,无,以现场为准,08:00-22:30,4.7,交子之环(中海国际中心店)位于交子大道177号中海国际中心，门票以现场为准，开放时间08:00-22:30
成都,购物服务;购物相关场所;购物相关场所,UPARK公园,富华北路666号,028-83235307;028-87675877,以现场为准,10:00-02:00,4.4,UPARK公园位于富华北路666号，门票以现场为准，开放时间10:00-02:00
成都,购物服务;特色商业街;特色商业街,春熙路,春熙路街道,028-87706026,以现场为准,24小时营业,4.9,春熙路位于春熙路街道，门票以现场为准，开放时间24小时营业
成都,科教文化服务;博物馆;博物馆,交子金融博物馆,桂溪街道锦云东二巷,028-60106006,以现场为准,09:00-17:00,4.7,交子金融博物馆位于桂溪街道锦云东二巷，门票以现场为准，开放时间09:00-17:00
成都,风景名胜;公园广场;公园,中和湿地公园,朝阳横街北50米,无,以现场为准,24小时营业,4.6,中和湿地公园位于朝阳横街北50米，门票以现场为准，开放时间24小时营业
成都,风景名胜;风景名胜;寺庙道观,铁像寺,铁像寺路66号,028-85323576;028-86036140,以现场为准,09:00-16:30,4.9,铁像寺位于铁像寺路66号，门票以现场为准，开放时间09:00-16:30
成都,科教文化服务;博物馆;博物馆,立巢航空博物馆,天府大道1700号环球中心D馆,4009950315,88.00,10:00-18:00,4.6,立巢航空博物馆位于天府大道1700号环球中心D馆，门票88.00，开放时间10:00-18:00
成都,科教文化服务;博物馆;博物馆,成都武侯祠博物馆,武侯祠大街231号,028-85535951,50.00,09:00-18:00,4.8,成都武侯祠博物馆位于武侯祠大街231号，门票50.00，开放时间09:00-18:00
成都,风景名胜;公园广场;公园,桂溪生态公园西区,天府一街桂溪生态公园(西侧),无,以现场为准,10:00-22:00,4.6,桂溪生态公园西区位于天府一街桂溪生态公园(西侧)，门票以现场为准，开放时间10:00-22:00
成都,风景名胜;风景名胜;风景名胜,环球中心东广场,锦悦西路与天府大道北段辅路交叉口西南380米,无,以现场为准,以现场为准,无,环球中心东广场位于锦悦西路与天府大道北段辅路交叉口西南380米，门票以现场为准，开放时间以现场为准
成都,风景名胜;公园广场;公园,东湖公园,二环路东五段301号(东湖公园地铁站A口旁),028-85568847,以现场为准,24小时营业,4.7,东湖公园位于二环路东五段301号(东湖公园地铁站A口旁)，门票以现场为准，开放时间24小时营业
成都,风景名胜;风景名胜相关;旅游景点,成都SKP中央大台阶,天府大道1600号(锦城广场东地铁站A口步行80米),无,以现场为准,以现场为准,4.5,成都SKP中央大台阶位于天府大道1600号(锦城广场东地铁站A口步行80米)，门票以现场为准，开放时间以现场为准
成都,购物服务;特色商业街;特色商业街|风景名胜;风景名胜相关;旅游景点,宽窄巷子景区,宽巷子27号(宽窄巷子地铁站B口步行60米),"028-86259233;15228966399;+861056320612,16151776",0.00,24小时营业,4.7,宽窄巷子景区位于宽巷子27号(宽窄巷子地铁站B口步行60米)，门票0.00，开放时间24小时营业
成都,风景名胜;公园广场;公园,望江楼公园,望江路30号,028-85223389,16.00,09:00-21:00,4.7,望江楼公园位于望江路30号，门票16.00，开放时间09:00-21:00
成都,科教文化服务;博物馆;博物馆,三和老爷车博物馆,机场路新加坡工业园区新园南一路2号,028-86051188,30.00,09:00-17:00,4.7,三和老爷车博物馆位于机场路新加坡工业园区新园南一路2号，门票30.00，开放时间09:00-17:00
成都,风景名胜;风景名胜;国家级景点,三圣花乡旅游区,成龙路三环路外侧(近三圣街道办事处),028-84676767;028-84678221,以现场为准,24小时营业,4.6,三圣花乡旅游区位于成龙路三环路外侧(近三圣街道办事处)，门票以现场为准，开放时间24小时营业
成都,体育休闲服务;休闲场所;游乐场,艾丽树奇迹沙漠主题乐园,天府大道北段1700号环球中心B馆3楼最南侧,无,以现场为准,以现场为准,4.6,艾丽树奇迹沙漠主题乐园位于天府大道北段1700号环球中心B馆3楼最南侧，门票以现场为准，开放时间以现场为准
成都,风景名胜;风景名胜相关;旅游景点,桂溪生态公园东区,世纪城东路9号(四川电视台对面),无,以现场为准,24小时营业,4.6,桂溪生态公园东区位于世纪城东路9号(四川电视台对面)，门票以现场为准，开放时间24小时营业
成都,风景名胜;风景名胜;国家级景点,人民公园,小南街8号(人民公园地铁站B口步行240米),028-86132021,以现场为准,06:30-22:00,4.8,人民公园位于小南街8号(人民公园地铁站B口步行240米)，门票以现场为准，开放时间06:30-22:00
成都,风景名胜;风景名胜;国家级景点,东郊记忆,跳蹬河街道建设南支路1号,028-84121347,0.00,24小时营业,4.8,东郊记忆位于跳蹬河街道建设南支路1号，门票0.00，开放时间24小时营业
成都,风景名胜;公园广场;城市广场,天府广场,人民南路一段86号(天府广场地铁站出入口步行50米),无,118.00,24小时营业,4.8,天府广场位于人民南路一段86号(天府广场地铁站出入口步行50米)，门票118.00，开放时间24小时营业
