city,type,name,address,tel,price,open_time,rating,content
成都,住宿服务;宾馆酒店;宾馆酒店,雅悦酒店(成都锦华万达店),二环路东五段29号万达广场11B单元10层,028-84191122;028-84191977,以现场为准,以现场为准,4.3,雅悦酒店(成都锦华万达店)位于二环路东五段29号万达广场11B单元10层，电话028-84191122;028-84191977，评分4.3
成都,住宿服务;宾馆酒店;经济型连锁酒店,如家云上四季酒店(成都天府国际机场店),草池街道金鸡村2组74号,028-27299922;028-27351155;18215561320,以现场为准,以现场为准,4.6,如家云上四季酒店(成都天府国际机场店)位于草池街道金鸡村2组74号，电话028-27299922;028-27351155;18215561320，评分4.6
成都,住宿服务;宾馆酒店;宾馆酒店,豪庭连锁主题公寓(成都火车东站店),嘉陵江路68号东方新城2期(东站东广场北出口斜对面),18280157748;19934422169,以现场为准,以现场为准,4.9,豪庭连锁主题公寓(成都火车东站店)位于嘉陵江路68号东方新城2期(东站东广场北出口斜对面)，电话18280157748;19934422169，评分4.9
成都,住宿服务;宾馆酒店;经济型连锁酒店,宜必思酒店(成都天府机场店),简城街道高铁南站万汇中心二期13栋,028-27236666;17761303525,以现场为准,以现场为准,4.9,宜必思酒店(成都天府机场店)位于简城街道高铁南站万汇中心二期13栋，电话028-27236666;17761303525，评分4.9
成都,住宿服务;旅馆招待所;旅馆招待所,成都龙泉驿蒲公英驿站,车城东七路397号,13308191026;18180431626,以现场为准,以现场为准,4.4,成都龙泉驿蒲公英驿站位于车城东七路397号，电话13308191026;18180431626，评分4.4
成都,住宿服务;旅馆招待所;旅馆招待所,青城山忆楠客栈,青城山镇青城人家泉水四巷34号,028-87218663;15351202070,以现场为准,以现场为准,4.4,青城山忆楠客栈位于青城山镇青城人家泉水四巷34号，电话028-87218663;15351202070，评分4.4
成都,住宿服务;宾馆酒店;宾馆酒店,新友佳商务酒店(新城店),牡丹北路66号,028-83856639,以现场为准,以现场为准,4.8,新友佳商务酒店(新城店)位于牡丹北路66号，电话028-83856639，评分4.8
成都,住宿服务;宾馆酒店;四星级宾馆,滨海酒店,光华大道三段1818号珠江地产11层,028-67256324,以现场为准,以现场为准,4.3,滨海酒店位于光华大道三段1818号珠江地产11层，电话028-67256324，评分4.3
成都,住宿服务;宾馆酒店;经济型连锁酒店,99优选酒店(成都宽窄巷子地铁站店),槐树街47号,028-86696322,以现场为准,以现场为准,4.2,99优选酒店(成都宽窄巷子地铁站店)位于槐树街47号，电话028-86696322，评分4.2
成都,住宿服务;住宿服务相关;住宿服务相关,雅思客酒店公寓(怡心湖店),沈阳路西段33号翡翠公园万科生活广场5栋1单元1602室,17381891718,以现场为准,以现场为准,4.8,雅思客酒店公寓(怡心湖店)位于沈阳路西段33号翡翠公园万科生活广场5栋1单元1602室，电话17381891718，评分4.8
成都,住宿服务;宾馆酒店;经济型连锁酒店,99旅馆连锁(成都营门口店),营门口路251号民光商厦2楼,028-87640399,以现场为准,以现场为准,4.6,99旅馆连锁(成都营门口店)位于营门口路251号民光商厦2楼，电话028-87640399，评分4.6
成都,住宿服务;宾馆酒店;宾馆酒店,成都泓宇酒店,府南新区双清北路5号,028-64043703;028-87364059;18980419246,以现场为准,以现场为准,4.6,成都泓宇酒店位于府南新区双清北路5号，电话028-64043703;028-87364059;18980419246，评分4.6
成都,住宿服务;旅馆招待所;青年旅舍,笑脸里·好久不见青年旅舍(成都锦里武侯祠店),衣冠庙超洋路68号(衣冠庙地铁站A口步行350米),18108052112,以现场为准,以现场为准,4.9,笑脸里·好久不见青年旅舍(成都锦里武侯祠店)位于衣冠庙超洋路68号(衣冠庙地铁站A口步行350米)，电话18108052112，评分4.9
成都,住宿服务;宾馆酒店;宾馆酒店,成都漫金利酒店(九眼桥店),一环路南一段2号好望角商业广场3栋1楼,028-85259118,以现场为准,以现场为准,4.3,成都漫金利酒店(九眼桥店)位于一环路南一段2号好望角商业广场3栋1楼，电话028-85259118，评分4.3
成都,住宿服务;宾馆酒店;宾馆酒店,成都新欧尚商务酒店,成灌西路695号,028-60272833;028-85881995;028-87881995,以现场为准,以现场为准,4.5,成都新欧尚商务酒店位于成灌西路695号，电话028-60272833;028-85881995;028-87881995，评分4.5
成都,住宿服务;宾馆酒店;宾馆酒店,成都成龙酒店(春熙路天府广场店),西丁字街3号2楼(锦江宾馆地铁站C2口步行410米),028-86653308,以现场为准,以现场为准,4.4,成都成龙酒店(春熙路天府广场店)位于西丁字街3号2楼(锦江宾馆地铁站C2口步行410米)，电话028-86653308，评分4.4
成都,住宿服务;宾馆酒店;宾馆酒店,龙猫竣电竞酒店(成都春熙路店),走马街68号锦城大厦6楼,028-85551310;19113573032,以现场为准,以现场为准,4.8,龙猫竣电竞酒店(成都春熙路店)位于走马街68号锦城大厦6楼，电话028-85551310;19113573032，评分4.8
